ISO,Rank2018,FR_Country,EN_country,ES_country,Underlying situation score 2016,Abuse score 2016,Overall Score 2016,Progression RANK,Rank 2017,Score 2017,Zone
BOL,110,Bolivie,Bolivia,Bolivia,"32,45","17,9","32,45",-3,107,"33,88",Amériques
BRA,102,Brésil,Brazil,Brasil,"26,78","48,9","31,2",1,103,"33,58",Amériques
BRN,153,Brunei,Brunei Darussalam,Brunéi,"51,48",0,"51,48",3,156,"53,72",Asie-Pacifique
BTN,94,Bhoutan,Bhutan,Butàn,"30,73",0,"30,73",-10,84,"30,73",Asie-Pacifique
BWA,48,Botswana,Botswana,Botsuana,"25,29",11,"25,29",0,48,"24,93",Afrique
CAF,112,République centrafricaine,Central African Republic,Repœblica Centroafricana,"35,25",11,"35,25",1,113,"36,12",Afrique
CAN,18,Canada,Canada,Canadà,"14,92","13,9","15,28",4,22,"16,53",Amériques
CHE,5,Suisse,Switzerland,Suiza,"11,27",0,"11,27",2,7,"12,13",UE Balkans
CHL,38,Chili,Chile,Chile,"22,69",0,"22,69",-5,33,"20,53",Amériques
CHN,176,Chine,China,China,"76,5","81,7","78,29",0,176,"77,66",Asie-Pacifique
CIV,82,Côte d'Ivoire,C™te d'Ivoire,Costa de Marfil,"29,76","20,8","30,08",-1,81,"30,42",Afrique
CMR,129,Cameroun,Cameroon,Camerœn,"40,72","34,7","40,92",1,130,"41,59",Afrique
COD,154,RD Congo,The Democratic Republic Of The Congo,RD Congo,"51,6","44,7","51,6",0,154,"52,67",Afrique
COG,114,Congo,Congo,Repœblica del Congo,"35,42","31,4","35,42",1,115,"36,73",Afrique
COL,130,Colombie,Colombia,Colombia,"39,58","46,8","41,03",-1,129,"41,47",Amériques
COM,49,Comores,Comoros,Comoras,"25,3",0,"25,3",-5,44,"24,33",Afrique
CPV,29,Cap-Vert,Cape Verde,Cabo Verde,"20,39",0,"20,39",-2,27,"18,02",Afrique
CRI,10,Costa Rica,Costa Rica,Costa Rica,"14,01",0,"14,01",-4,6,"11,93",Amériques
CTU,77,Chypre (partie Nord),Cyprus North,Chipre Norte,"29,59",0,"29,59",-2,75,"29,88",UE Balkans
CUB,172,Cuba,Cuba,Cuba,"68,9","35,6","68,9",1,173,"71,75",Amériques
CYP,25,Chypre,Cyprus,Chipre,"19,85",0,"19,85",5,30,"19,79",UE Balkans
CZE,34,République tchèque,Czech Republic,Repœblica Checa,"21,89",0,"21,89",-11,23,"16,91",UE Balkans
DEU,15,Allemagne,Germany,Alemania,"10,9","28,3","14,39",1,16,"14,97",UE Balkans
DJI,173,Djibouti,Djibouti,Yibuti,"70,77",0,"70,77",-1,172,"70,54",Afrique
DNK,9,Danemark,Denmark,Dinamarca,"6,24",45,"13,99",-5,4,"10,36",UE Balkans
DOM,59,République dominicaine,Dominican Republic,Repœblica Dominicana,"26,79",0,"26,79",0,59,"26,76",Amériques
DZA,136,Algérie,Algeria,Argelia,"43,13","13,9","43,13",-2,134,"42,83",MENA
ECU,92,Equateur,Ecuador,Ecuador,"30,56",0,"30,56",13,105,"33,64",Amériques
